target	status	blob	size	source	commit	path
local-github-agentic-loop-pack/skills/plugin-creator/references/installing-and-updating.md	MATCH	28b3b8890815fa48ed70ec86853c26a62f9d3540	5874	openai-codex	bbcf5e10fb493f0f46e4155455e1b5c4f69cfe63	codex-rs/skills/src/assets/samples/plugin-creator/references/installing-and-updating.md
local-github-agentic-loop-pack/skills/plugin-creator/references/plugin-json-spec.md	MATCH	40d3ae6b5435c4372c38dcdeead4706eef42b4b2	9179	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/playwright-testing-agent/skills/local/platform-managed/.system/plugin-creator/references/plugin-json-spec.md
local-github-agentic-loop-pack/skills/plugin-creator/scripts/create_basic_plugin.py	MATCH	78b9fca8fc95b371f5e22a7226bed2ffdfc1d022	11185	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/plugin-creator/scripts/create_basic_plugin.py
local-github-agentic-loop-pack/skills/plugin-creator/scripts/read_marketplace_name.py	MATCH	597e9f7a4203822a7b647847e0e6a4510e3d6dd8	1497	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/plugin-creator/scripts/read_marketplace_name.py
local-github-agentic-loop-pack/skills/plugin-creator/scripts/update_plugin_cachebuster.py	MATCH	82d19e5dfda1c6a9854c5a4fa55955470be5c374	2686	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/plugin-creator/scripts/update_plugin_cachebuster.py
local-github-agentic-loop-pack/skills/plugin-creator/scripts/validate_plugin.py	MATCH	88fae0fd00998ea32fa2393869042f0231a2b43b	21180	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/plugin-creator/scripts/validate_plugin.py
local-github-agentic-loop-pack/skills/skill-creator/LICENSE.txt	MATCH	d645695673349e3947e8e5ae42332d0ac3164cd7	11358	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/skill-creator/license.txt
local-github-agentic-loop-pack/skills/skill-creator/SKILL.md	UNMATCHED	134de55d48cc28a460d0cc214cd9a934a71e4339	32400			
local-github-agentic-loop-pack/skills/skill-creator/agents/openai.yaml	UNMATCHED	e8e56c156fe8a8a8816e747b0b5df2ef477ec9a8	159			
local-github-agentic-loop-pack/skills/skill-creator/references/openai_yaml.md	MATCH	90f9e8e863dff501c0125e2ead20c1dd6c3028d5	2356	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/playwright-testing-agent/skills/local/platform-managed/.system/skill-creator/references/openai_yaml.md
local-github-agentic-loop-pack/skills/skill-creator/scripts/generate_openai_yaml.py	UNMATCHED	34d784fb3739e878619cbb83cc6e2719e82fc751	6621			
